row_index,biet_duoc,link_slot,url,file_id,status,http_status,local_path,file_size
32,Vanconex (Vancomycin Hydrochloride for Injection USP 1g/Vial),1,https://drive.google.com/file/d/1XvODBsPV3T1GLYFktmp-Yu7MiLGD75g1/view?usp=sharing,1XvODBsPV3T1GLYFktmp-Yu7MiLGD75g1,bad_response:text/html,404,,0
33,INSUNOVA - N (NPH),1,https://drive.google.com/file/d/1KL0Wso3oDBbQRtTpUFOFR687dckMvEWp/view?usp=sharing,1KL0Wso3oDBbQRtTpUFOFR687dckMvEWp,bad_response:text/html,404,,0
34,Natrixam 1.5mg/5mg,1,https://drive.google.com/file/d/1I9swVDmubKKjXB7H3y61YD2sQoMc6uAf/view?usp=drive_link,1I9swVDmubKKjXB7H3y61YD2sQoMc6uAf,bad_response:text/html,404,,0
34,Natrixam 1.5mg/5mg,2,https://drive.google.com/file/d/1TX--9t49vAngNVW9_CGEnuVqIxK26LF_/view?usp=sharing,1TX--9t49vAngNVW9_CGEnuVqIxK26LF_,ok,200,dataset\hdsd_raw\0034_Natrixam_1_5mg_5mg_2_1TX--9t49vAngNVW9_CGEnuVqIxK26LF_.pdf,3650869
35,Meconeuro,1,https://drive.google.com/file/d/12QMQoanUoA442DyO32Pykm8o4rbWSOF8/view?usp=sharing,12QMQoanUoA442DyO32Pykm8o4rbWSOF8,bad_response:text/html,404,,0
36,Sarariz Cap.,1,https://drive.google.com/file/d/1tel-W4hgnyZzI-RNdj35Se-FTaaZmOSI/view?usp=drive_link,1tel-W4hgnyZzI-RNdj35Se-FTaaZmOSI,bad_response:text/html,404,,0
37,Pantin 40,1,https://drive.google.com/file/d/1onOIiwTLtlSA-da0YKDvmYYW1u8ZelT8/view?usp=drive_link,1onOIiwTLtlSA-da0YKDvmYYW1u8ZelT8,bad_response:text/html,404,,0
38,Danapha-Rabe,1,https://drive.google.com/file/d/1YK1Q5N8FjsXKV8rEQjPZ3lcmKytaas3N/view?usp=sharing,1YK1Q5N8FjsXKV8rEQjPZ3lcmKytaas3N,bad_response:text/html,404,,0
39,Cavinton,1,https://drive.google.com/file/d/1rLlZeKy_3BZAaQ5ckQXDfVN5DoW6hibk/view?usp=sharing,1rLlZeKy_3BZAaQ5ckQXDfVN5DoW6hibk,bad_response:text/html,404,,0
40,Cepemid 1g,1,https://drive.google.com/file/d/1nNU1ZQ7m45n8bNFAnpgxw-WaspFOnzni/view?usp=drive_link,1nNU1ZQ7m45n8bNFAnpgxw-WaspFOnzni,bad_response:text/html,404,,0
41,Nerazzu-plus,1,https://drive.google.com/file/d/191bavi3TPzo4ythIsTq5QnOexJtkasZd/view?usp=drive_link,191bavi3TPzo4ythIsTq5QnOexJtkasZd,ok,200,dataset\hdsd_raw\0041_Nerazzu-plus_1_191bavi3TPzo4ythIsTq5QnOexJtkasZd.pdf,3980602
42,Neo-Tergynan,1,https://drive.google.com/file/d/1UwiDQWH173KeQkQe5TLDFxTTVIqflHmH/view?usp=drive_link,1UwiDQWH173KeQkQe5TLDFxTTVIqflHmH,ok,200,dataset\hdsd_raw\0042_Neo-Tergynan_1_1UwiDQWH173KeQkQe5TLDFxTTVIqflHmH.pdf,7913983
43,Tardyferon B9,1,https://drive.google.com/file/d/1wVj7mWO_MIA_HdfmkmrzsubjmznDv81w/view?usp=drive_link,1wVj7mWO_MIA_HdfmkmrzsubjmznDv81w,ok,200,dataset\hdsd_raw\0043_Tardyferon_B9_1_1wVj7mWO_MIA_HdfmkmrzsubjmznDv81w.pdf,3468998
44,Neo-Endusix,1,https://drive.google.com/file/d/1akXcfuFn6TqQeH8NnZjemILwHm0ij-Vv/view?usp=drive_link,1akXcfuFn6TqQeH8NnZjemILwHm0ij-Vv,ok,200,dataset\hdsd_raw\0044_Neo-Endusix_1_1akXcfuFn6TqQeH8NnZjemILwHm0ij-Vv.pdf,11617475
45,Nebivolol 5mg,1,https://drive.google.com/file/d/1zHT6aM9FCQCF7IC7aSOO5lBqkgPy9fbX/view?usp=drive_link,1zHT6aM9FCQCF7IC7aSOO5lBqkgPy9fbX,ok,200,dataset\hdsd_raw\0045_Nebivolol_5mg_1_1zHT6aM9FCQCF7IC7aSOO5lBqkgPy9fbX.pdf,6561092
46,NDP-Saxa 5,1,https://drive.google.com/file/d/1_DrzBl3ylSwNrSHg0nvmN0E4kfoiigVe/view?usp=drive_link,1_DrzBl3ylSwNrSHg0nvmN0E4kfoiigVe,ok,200,dataset\hdsd_raw\0046_NDP-Saxa_5_1_1_DrzBl3ylSwNrSHg0nvmN0E4kfoiigVe.pdf,6050114
47,"Natri clorid 0,45%",1,https://drive.google.com/file/d/13PFZZ6tmxxwo-imoV95OFJg0HmMzXNmR/view?usp=drive_link,13PFZZ6tmxxwo-imoV95OFJg0HmMzXNmR,ok,200,dataset\hdsd_raw\0047_Natri_clorid_0_45_1_13PFZZ6tmxxwo-imoV95OFJg0HmMzXNmR.pdf,5871462
48,Naptogast 20,1,https://drive.google.com/file/d/1CH0HKMEsbYFgaK04vhfV5HptNcSg86em/view?usp=drive_link,1CH0HKMEsbYFgaK04vhfV5HptNcSg86em,ok,200,dataset\hdsd_raw\0048_Naptogast_20_1_1CH0HKMEsbYFgaK04vhfV5HptNcSg86em.pdf,5466358
49,"Naphazolin 0,05% Danapha",1,https://drive.google.com/file/d/1J6WYthOAEzQP5PIkroWSPrPdiqv8V9WN/view?usp=drive_link,1J6WYthOAEzQP5PIkroWSPrPdiqv8V9WN,ok,200,dataset\hdsd_raw\0049_Naphazolin_0_05_Danapha_1_1J6WYthOAEzQP5PIkroWSPrPdiqv8V9WN.pdf,2205119
50,Nanokine 4000 IU,1,https://drive.google.com/file/d/1Tpey7entA1etEKTQKrvi6kcFg0oAETw2/view?usp=drive_link,1Tpey7entA1etEKTQKrvi6kcFg0oAETw2,ok,200,dataset\hdsd_raw\0050_Nanokine_4000_IU_1_1Tpey7entA1etEKTQKrvi6kcFg0oAETw2.pdf,18024640
51,Nalordia,1,https://drive.google.com/file/d/1jcA5-sae34jeReqo03z_nEB9kxu-dy4b/view?usp=drive_link,1jcA5-sae34jeReqo03z_nEB9kxu-dy4b,ok,200,dataset\hdsd_raw\0051_Nalordia_1_1jcA5-sae34jeReqo03z_nEB9kxu-dy4b.pdf,1596785
52,Acyclovir Stella 800mg,1,https://drive.google.com/file/d/1LnusMP8ZM_mJuIReeakGr2iNTJu1tdDZ/view?usp=sharing,1LnusMP8ZM_mJuIReeakGr2iNTJu1tdDZ,bad_response:text/html,404,,0
53,Lidocain- BFS 200mg,1,https://drive.google.com/file/d/1BNIQ402ujWWT-J5WaxQGlfT4JPgjoqMJ/view?usp=drive_link,1BNIQ402ujWWT-J5WaxQGlfT4JPgjoqMJ,ok,200,dataset\hdsd_raw\0053_Lidocain-_BFS_200mg_1_1BNIQ402ujWWT-J5WaxQGlfT4JPgjoqMJ.pdf,2274129
